protocol_id,reference_locations,go_literal_locations,interpretation
1001,native_admission.py:139; native_relay.py:32; native_service.py:32; service.py:59,game/session.go:93; game/session.go:873; game/session.go:909; game/session.go:920,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1002,wire.py:125,protocol/names.go:105,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1003,native_relay.py:54; sdp_peer.py:106; sdp_peer.py:131,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1006,native_relay.py:54; sdp_peer.py:106,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1008,native_relay.py:58; sdp_peer.py:106; sdp_peer.py:117; sdp_peer.py:39,bridge/bridge_windows.go:627; game/datagram_transport.go:129; game/session.go:870; game/session.go:927,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1010,handlers/session.py:11; handlers/session.py:17; layouts.py:291,protocol/names.go:106,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1012,native_relay.py:50; native_relay.py:52; service.py:78; service.py:83,protocol/wire.go:166,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1013,native_relay.py:50; service.py:78,game/session.go:888,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1014,wire.py:127,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1030,menu_layouts.py:181,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1150,engine.py:267; layouts.py:300,persistence/character.go:46; persistence/store.go:242; protocol/names.go:112,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1156,engine.py:211,protocol/names.go:115,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1157,handlers/session.py:64,protocol/names.go:116,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1230,menu_layouts.py:156,game/renewal.go:97; game/reward_balances.go:24; game/session.go:685; game/session.go:716; game/session.go:808; game/stage_settlement.go:172; game/tutorial.go:82; protocol/wire.go:196,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1240,menu_layouts.py:184,game/extended_tasks.go:128; game/reward_balances.go:23; game/session.go:718; game/settlement.go:155; game/stage_settlement.go:171; game/tasks.go:64; game/tutorial.go:81; game/weapon_levels.go:58,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1250,menu_layouts.py:184,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1300,handlers/lobby.py:98; mailbox.py:104; menu_layouts.py:103,game/mail.go:11; game/session.go:812,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1310,menu_layouts.py:187; menu_layouts.py:188,game/mail.go:19; game/mail.go:102; protocol/mail.go:9,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1320,engine.py:267; handlers/lobby.py:98; mailbox.py:111; menu_layouts.py:52,game/mail.go:31; game/session.go:812,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1340,engine.py:267; handlers/lobby.py:98; menu_layouts.py:52,game/mail.go:67; game/session.go:812,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1350,menu_layouts.py:176,game/mail.go:72; game/mail.go:84,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1400,handlers/lobby.py:101; menu_layouts.py:103; renewal.py:144,game/session.go:814,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1401,engine.py:267; menu_layouts.py:55,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1402,engine.py:267; menu_layouts.py:59,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1410,menu_layouts.py:187,game/renewal.go:33,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1420,engine.py:267; handlers/lobby.py:101; menu_layouts.py:65; renewal.py:136,protocol/renewal.go:4,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1440,engine.py:267; handlers/lobby.py:101; menu_layouts.py:62; renewal.py:148,game/session.go:816,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1500,handlers/lobby.py:57; menu_layouts.py:39; renewal.py:137,desktop/admin.go:109; desktop/admin.go:110; game/session.go:619; game/session.go:620; game/session.go:637; game/session.go:646,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1510,menu_layouts.py:146,game/renewal.go:67,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1540,handlers/lobby.py:51; menu_layouts.py:103,game/session.go:619; game/session.go:634,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
1550,menu_layouts.py:146,game/title.go:77,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2010,handlers/session.py:11; layouts.py:291,desktop/weapon.go:512; game/lobbies.go:5; game/session.go:51; protocol/names.go:117,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2040,menu_layouts.py:181,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2060,handlers/session.py:38,game/session.go:203; game/session.go:433; protocol/names.go:119,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2080,engine.py:267; handlers/equipment.py:10; layouts.py:296,persistence/inventory_equipment.go:10; protocol/names.go:120,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2100,menu_layouts.py:181,protocol/names.go:122,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2110,handlers/equipment.py:28,protocol/inventory_queries.go:5,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2120,layouts.py:310; menu_layouts.py:172,game/inventory.go:87; protocol/inventory_queries.go:6,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2121,menu_layouts.py:172,game/inventory.go:83; game/inventory.go:87,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2160,menu_layouts.py:159,game/inventory.go:66; game/title.go:98; game/weapon_levels.go:62; protocol/names.go:123,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2161,menu_layouts.py:164,game/inventory.go:68; game/renewal.go:91; game/title.go:100; game/weapon_levels.go:59; protocol/names.go:124,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2162,menu_layouts.py:169,game/inventory.go:96; game/session.go:751; game/session.go:753,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2171,engine.py:267; handlers/lobby.py:98; mailbox.py:117; menu_layouts.py:52,game/mail.go:24; game/mail.go:45; game/mail.go:67; game/session.go:812,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2250,engine.py:267; handlers/directory.py:11; menu_layouts.py:49,protocol/names.go:125,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2260,engine.py:217; room_requests.py:82; rooms.py:235,protocol/names.go:126,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2270,menu_layouts.py:149,protocol/names.go:127,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2300,handlers/equipment.py:36,desktop/foster_plan.go:51; persistence/inventory_equipment.go:50; protocol/names.go:129,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2420,handlers/directory.py:31; handlers/directory.py:41,game/session.go:531,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2430,handlers/directory.py:31,game/session.go:547,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2540,handlers/lobby.py:31; handlers/lobby.py:38; menu_layouts.py:33,game/session.go:561; game/session.go:562; game/session.go:569,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2550,menu_layouts.py:128,game/session.go:570,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2560,handlers/lobby.py:31; menu_layouts.py:36,game/session.go:561; game/session.go:562,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
2570,menu_layouts.py:141,game/session.go:572,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3010,handlers/single_room.py:58; room_requests.py:101; rooms.py:206; rooms.py:235; tutorial.py:39,game/tutorial.go:61; protocol/names.go:131,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3030,menu_layouts.py:181,protocol/names.go:133,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3070,room_requests.py:130; rooms.py:235; tutorial.py:69,game/rooms.go:286; game/rooms.go:463; game/rooms.go:467; protocol/names.go:134; protocol/room_detail.go:10; protocol/room_join.go:3,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3075,handlers/single_room.py:14; room_requests.py:115; rooms.py:235,game/rooms.go:592,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3091,engine.py:232; rooms.py:222; tutorial.py:82,protocol/room_join.go:28,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3110,handlers/single_room.py:71; room_requests.py:227; rooms.py:235,game/rooms.go:641; game/spectators.go:160; protocol/names.go:139,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3140,handlers/single_room.py:26; room_requests.py:181; rooms.py:235,protocol/names.go:142,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
